m,n,k,kernelId,kernelParam1,kernelParam2,kernelParam3
16128,48,8192,1,1,1,2
16128,64,8192,1,2,1,3
32000,16,5120,1,1,1,1
32000,32,5120,1,1,1,1
32000,48,5120,1,1,1,1
32000,64,5120,1,1,1,1
32000,80,5120,1,2,1,2
32000,96,5120,1,2,1,2
32000,112,5120,1,2,1,2
32000,128,5120,1,2,1,2
32000,144,5120,1,2,1,2
32000,160,5120,1,2,1,2
32000,176,5120,1,2,1,2
32000,192,5120,1,2,1,2
15360,16,5120,1,1,1,3
15360,32,5120,1,1,1,3
15360,48,5120,1,1,1,3
15360,64,5120,1,2,1,4
15360,80,5120,1,2,1,4
15360,96,5120,1,1,1,3
15360,112,5120,1,2,1,3
15360,128,5120,1,2,1,3
15360,144,5120,1,2,1,4
15360,160,5120,1,2,1,3
15360,176,5120,1,2,1,3
15360,192,5120,1,2,1,3
5120,16,5120,1,2,1,2
5120,32,5120,1,2,1,2
5120,48,5120,1,2,1,2
5120,64,5120,1,2,1,2
5120,80,5120,1,2,1,2
5120,96,5120,1,2,1,4
5120,112,5120,1,2,1,4
5120,128,5120,1,2,1,4
5120,144,5120,1,2,1,2
5120,160,5120,1,2,1,2
5120,176,5120,1,2,2,2
5120,192,5120,1,2,2,2
13824,16,5120,1,1,1,4
13824,32,5120,1,1,1,4
13824,48,5120,1,1,1,4
13824,64,5120,1,1,1,4
13824,80,5120,1,1,1,4
13824,96,5120,1,2,1,4
13824,112,5120,1,2,1,3
13824,128,5120,1,2,1,3
13824,144,5120,1,2,1,4
13824,160,5120,1,2,1,4
13824,176,5120,1,2,1,4
13824,192,5120,1,2,2,3
27648,16,5120,1,1,1,4
27648,32,5120,1,1,1,3
27648,48,5120,1,1,1,2
27648,64,5120,1,1,1,2
27648,80,5120,1,2,1,3
27648,96,5120,1,2,1,3
27648,112,5120,1,2,1,3
27648,128,5120,1,2,1,3
27648,144,5120,1,2,1,3
27648,160,5120,1,2,1,3
27648,176,5120,1,2,1,3
27648,192,5120,1,2,1,3
5120,16,13824,1,2,1,2
5120,32,13824,1,2,1,2
5120,48,13824,1,2,1,2
5120,64,13824,1,2,1,2
5120,80,13824,1,2,1,2
5120,96,13824,1,2,1,4
5120,112,13824,1,2,1,4
5120,128,13824,1,2,1,4
5120,144,13824,1,2,1,2
5120,160,13824,1,2,1,2
5120,176,13824,1,2,1,2
5120,192,13824,1,2,2,4
128,16,6144,1,1,1,4
128,32,6144,1,1,2,4
128,48,6144,1,1,2,4
128,64,6144,1,1,2,4
1024,16,6144,1,1,1,4
1024,32,6144,1,1,1,4
1024,48,6144,1,1,1,4
1024,64,6144,1,1,1,4
6144,16,768,1,2,1,2
6144,32,768,1,2,1,1
6144,48,768,1,2,1,1
6144,64,768,1,2,1,1
4096,16,6144,1,2,1,2
4096,32,6144,1,2,1,2
4096,48,6144,1,2,1,2
4096,64,6144,1,1,1,3
128,16,4096,1,1,1,4
128,32,4096,1,1,2,4
128,48,4096,1,1,3,4
128,64,4096,1,1,2,4
128,80,4096,1,1,3,4
128,96,4096,1,1,3,4
1536,16,4096,1,2,1,4
1536,32,4096,1,2,1,4
1536,48,4096,1,1,1,4
1536,64,4096,1,1,1,4
1536,80,4096,1,2,2,4
1536,96,4096,1,2,2,3
4096,16,1024,1,2,1,2
4096,32,1024,1,2,1,2
4096,48,1024,1,2,1,2
4096,64,1024,1,2,1,2
4096,80,1024,1,2,1,2
4096,96,1024,1,2,2,1
